| ABSTR_RAW                      | ABSTR_TOK                      | ABSTR_UPPER                    | AFFIL                                                                            | AR       | ASJC                           | AUTHID                                                                           | AUTHKW_NORM                    | AUTHKW_RAW                     | AUTHKW_TOK                     | AUTH_FIRST       | AUTH_FULL_NAME                 | AUTH_NORM                      | AUTH_RAW                       | AUTH_WITH_AFFIL                                                                  | C3                             |   CA | CL              | CONCEPT_NORM                   | CONCEPT_RAW                    | CORRESPOND_ADDR                | CT                             | CTRY                           | CTRY_FIRST   | CTRY_ISO3          | CTRY_ISO3_FIRST   | CY              | DA         | DATABASE   | DATE       | DESCRIPTOR_NORM                | DESCRIPTOR_RAW                 | DOCTYPE                    | DOI                            | EA       | EID                 | EMAIL                          | FUND_DET                       | FUND_TXT                       | GA    | GCR_WOS_FORMAT                 |   GCS |   HC |   HO |   HP | IDXKW_NORM                     | IDXKW_RAW                      | IDXKW_TOK                      | ISSN      | ISSNE     | ISSUE   | KW_NORM                        | KW_TOK                         | LANG       | LCR_WOS_FORMAT                 |   LCS | NP_ABSTR_RAW                   | NP_RAW                         | NP_SPACY                       | NP_TEXTBLOB                    | NP_TITLE_RAW                   |   N_AUTH |   N_GCR |   N_LCR | OA                             | ORCID                                                                            | ORG                                                                              | ORG_FIRST                   |   PG_COUNT |   PG_FIRST |   PG_LAST |            PM | PN   | PUBLISHER                      | PUBLISHER_ADDRESS              | PUBLISHER_CITY   | PUBTYPE   | REC_ID                                             |   REC_NO | REC_SHORT_NAME        | REGION                |   SI | SP                    | SRC                            | SRC_ISO4                       | SRC_J9               |   SU | SUBREGION                      | TITLE_RAW                      | TITLE_TOK                      | TITLE_UPPER                    |   VOL | WE                             | WORD_NORM                      | WORD_RAW                       | WOS_SC                         |   WOS_U1 |   WOS_U2 |   WOS_Z9 |   YEAR |
| In addition to the social econ | in addition to the social econ | in addition to THE_SOCIAL_ECON | Shandong Univ, Sch Environm Sci & Engn, Jinan 250100, Peoples R China; Beijing N | 3534     | Environmental Sciences; Water  | Tian, Yutong/KOC-6596-2024                                                       | water resources; system dynami | water resources; system dynami | water resources; system dynami | Wang BF          | Bofan Wang; Yutong Tian; Xuanj | Wang BF; Tian YT; Li XJ/1; Li  | Wang BF; Tian YT; Li XJ/1; Li  | [Wang, Bofan] Shandong Univ, Sch Environm Sci & Engn, Jinan 250100, Peoples R Ch | Shandong University; Beijing N |  nan | nan             | a model; a water resource shor | a model; a water resource shor | Li, CH (corresponding author), | nan                            | China                          | China        | CHN                | CHN               | nan             | 2026-04-19 | WoS        | DEC        | a model; a water resource shor | a model; a water resource shor | Article                    | 10.3390/w13243534              | nan      | WOS:000742423900001 | bofanw180@gmail.com; 881055071 | nan                            | nan                            | YG3WS | Ahmad S, 2004, J COMPUT CIVIL  |     5 |  nan |  nan |  nan | management; optimization       | management; optimization       | management; optimization       | nan       | 2073-4441 | 24      | chengde city; management; opti | chengde city; management; opti | English    | Qin HH, 2019, WATER RESOUR MAN |     0 | the social economy; the rapid  | a model; a water resource shor | 2017 data; a model; a water re | agricultural water; aquatic en | analysis; prediction; sustaina |        4 |      27 |       1 | Green Submitted, gold          | Chunhui, Li/0000-0003-0067-4112                                                  | BEIJING NORM UNIV; SHANDONG UNIV; [UNKNOWN]                                      | SHANDONG UNIV               |         23 |        nan |       nan | nan           | nan  | MDPI                           | MDPI AG, Grosspeteranlage 5, C | BASEL            | J         | Wang BF, 2021, WATER, V13, DOI 10.3390/w13243534   |       22 | Wang BF 2021          | Asia                  |  nan | nan                   | WATER                          | WATER                          | WATER-SUI            |  nan | Eastern Asia                   | Analysis and Prediction of Sus | analysis and prediction of sus | ANALYSIS and PREDICTION of SUS |    13 | Science Citation Index Expande | agricultural; agriculture; all | agricultural; agriculture; all | Environmental Sciences & Ecolo |        1 |       41 |        5 |   2021 |
| Dioxin pollution has been prob | dioxin pollution has been prob | DIOXIN_POLLUTION has been prob | Natl Taipei Univ Technol, Inst Environm Engn & Management, 1,Sec 3,Zhongxiao E R | e08361   | Multidisciplinary Sciences     | nan                                                                              | system dynamics model; stella; | system dynamics model; stella; | system dynamics model; stella; | Tseng CH         | Chao-Heng Tseng; Ling-Ling Che | Tseng CH; Chen LL; Su SM       | Tseng CH; Chen LL; Su SM       | [Tseng, Chao-Heng; Chen, Ling-Ling; Su, Shang-Ming] Natl Taipei Univ Technol, In | National Taipei University of  |  nan | nan             | a coal fired power generation  | a coal fired power generation  | Chen, LL (corresponding author | nan                            | Taiwan                         | Taiwan       | TWN                | TWN               | nan             | 2026-04-19 | WoS        | NOV        | a coal fired power generation  | a coal fired power generation  | Article                    | 10.1016/j.heliyon.2021.e08361  | NOV 2021 | WOS:000752610300023 | amy@mail.ntut.edu.tw           | nan                            | nan                            | YV3DD | Anenberg SC, 2012, ENVIRON HEA |     2 |  nan |  nan |  nan | greenhouse gas reduction; air- | greenhouse-gas reduction; air- | greenhouse gas reduction; air- | nan       | 2405-8440 | 11      | air-quality management; arcob  | air-quality management; arcob  | English    | nan                            |     0 | dioxin pollution; taiwan; the  | a coal fired power generation  | a coal_fired power generation  | air pollutant emissions; air r | development; a system dynamics |        3 |      37 |     nan | Green Submitted, gold          | Chen, You-Ning/0009-0002-5747-2204                                               | NATL TAIPEI UNIV TECHNOL                                                         | NATL TAIPEI UNIV TECHNOL    |          7 |        nan |       nan |   3.48411e+07 | nan  | CELL PRESS                     | 50 HAMPSHIRE ST, FLOOR 5, CAMB | CAMBRIDGE        | J         | Tseng CH, 2021, HELIYON, V7, DOI 10.1016/j.heliyon |       23 | Tseng CH 2021         | Asia                  |  nan | nan                   | HELIYON                        | HELIYON                        | HELIYON              |  nan | Eastern Asia                   | Development of a system dynami | development of a system dynami | DEVELOPMENT of A_SYSTEM_DYNAMI |     7 | Science Citation Index Expande | accuracies; air; air-quality;  | accuracies; air; air-quality;  | Science & Technology - Other T |        0 |       23 |        3 |   2021 |
| In this study, using system dy | in this study , using system d | in_this_study , using SYSTEM_D | Islamic Azad Univ, Rasht Branch, Ind Management Prod & Operat, Rasht, Iran; Univ | 111963   | Economics; Energy & Fuels; Env | amoozadkhalili, hossein/AAO-3508-2021; Amin-Tahmasbi,; Hamzeh/HDM-9711-2022      | privatization; system dynamics | privatization; system dynamics | privatization; system dynamics | Nasirzadeh H     | Hossein Nasirzadeh; Hamzeh Ami | Nasirzadeh H; Amin-Tahmasbi H; | Nasirzadeh H; Amin-Tahmasbi H; | [Nasirzadeh, Hossein] Islamic Azad Univ, Rasht Branch, Ind Management Prod & Ope | Islamic Azad University; Unive |  nan | nan             | a tool; all aspects; best  and | a tool; all aspects; best  and | Amin-Tahmasbi, H (correspondin | nan                            | Iran                           | Iran         | IRN                | IRN               | nan             | 2026-04-19 | WoS        | JAN        | a tool; all aspects; analysis; | a tool; all aspects; analysis; | Article                    | 10.1016/j.enpol.2020.111963    | nan      | WOS:000600550600007 | amintahmasbi@guilan.ac.ir      | nan                            | nan                            | PH6WP | Acevedo R, 2019, The Quarterly |    11 |  nan |  nan |  nan | impact                         | impact                         | impact                         | 0301-4215 | 1873-6777 | nan     | best  and  worst method; impac | best  and  worst method; impac | English    | nan                            |     0 | system dynamics approaches; de | a tool; all aspects; bwm techn | a tool; all aspects; approach; | bwm technique; causal loop dia | investment analysis; privatiza |        3 |      22 |     nan | nan                            | amoozadkhalili, hossein/0000-0001-7222-2233; Amin-Tahmasbi, Hamzeh/0000-0001-955 | ISLAM AZAD UNIV; UNIV GUILAN                                                     | ISLAM AZAD UNIV             |         11 |        nan |       nan | nan           | B    | ELSEVIER SCI LTD               | 125 London Wall, London, ENGLA | London           | J         | Nasirzadeh H, 2021, ENERGY POLIC, V148, DOI 10.101 |       24 | Nasirzadeh H 2021     | Asia                  |  nan | nan                   | ENERGY POLICY                  | ENERGY POLIC                   | ENERG POLICY         |  nan | Southern Asia                  | Investment analysis in privati | investment analysis in privati | INVESTMENT_ANALYSIS in PRIVATI |   148 | Science Citation Index Expande | analysis; approach; approaches | analysis; approach; approaches | Business & Economics; Energy & |        1 |       20 |       11 |   2021 |
| Globally, supply chains compet | globally , supply chains compe | globally , SUPPLY_CHAINS compe | Dalian Univ Technol, Sch Mech Engn, Dalian 116024, Peoples R China               | nan      | Computer Science, Interdiscipl | nan                                                                              | fuzzy logic; supplier selectio | fuzzy logic; supplier selectio | fuzzy logic; supplier selectio | Orji IJ          | Ifeyinwa Juliet Orji; Sun Wei  | Orji IJ; Wei S                 | Orji IJ; Wei S                 | [Orji, Ifeyinwa Juliet; Wei, Sun] Dalian Univ Technol, Sch Mech Engn, Dalian 116 | Dalian University of Technolog |  nan | nan             | a case; a complex and rapidly  | a case; a complex and rapidly  | Orji, IJ (corresponding author | nan                            | China                          | China        | CHN                | CHN               | nan             | 2026-04-19 | WoS        | OCT        | a case; a complex and rapidly  | a case; a complex and rapidly  | Article                    | 10.1016/j.cie.2015.06.019      | nan      | WOS:000361868700001 | Ifyorji09@yahoo.com            | nan                            | nan                            | CS1ZX | Aghajani H, 2011, FUZZY INF EN |   125 |  nan |  nan |  nan | multi criteria approach; chain | multi criteria approach; chain | multi criteria approach; chain | 0360-8352 | 1879-0550 | nan     | algorithm; chain; fuzzy logic; | algorithm; chain; fuzzy logic; | English    | Lan TS, 2013, MATH PROBL ENG,  |     1 | supply chains; a complex and r | a case; a complex and rapidly  | a case; a complex and rapidly  | ambiguous human judgment; diff | an innovative integration; fuz |        2 |      58 |       1 | nan                            | Orji, Ifeyinwa/0000-0002-1411-9518                                               | DALIAN UNIV TECHNOL                                                              | DALIAN UNIV TECHNOL         |         12 |          1 |        12 | nan           | nan  | PERGAMON-ELSEVIER SCIENCE LTD  | THE BOULEVARD, LANGFORD LANE,  | OXFORD           | J         | Orji IJ, 2015, COMPUT IND ENG, V88, P1, DOI 10.101 |       25 | Orji IJ 2015          | Asia                  |  nan | nan                   | COMPUTERS & INDUSTRIAL ENGINEE | COMPUT IND ENG                 | COMPUT IND ENG       |  nan | Eastern Asia                   | An innovative integration of f | an innovative integration of f | AN_INNOVATIVE_INTEGRATION of F |    88 | Science Citation Index Expande | algorithm; alterations; ambigu | algorithm; alterations; ambigu | Computer Science; Engineering  |        3 |      111 |      150 |   2015 |
| Prevention and health promotio | prevention and health promotio | PREVENTION_AND_HEALTH_PROMOTIO | Univ Estadual Maringa UEM, Dent Dept, Maringa, Parana, Brazil; Worcester Polytec | e017     | Dentistry, Oral Surgery & Medi | Pascotto, Renata/C-3202-2014; Terada, Raquel/E-7166-2017                         | systems analysis; dental-carie | systems analysis; dental carie | systems analysis; dental-carie | Umeda JE         | Josely Emiko Umeda; Karim Chic | Umeda JE; Chichakly K; Passos  | Umeda JE; Chichakly K; Passos  | [Umeda, Josely Emiko; Suga Terada, Raquel Sano; Pascotto, Renata Correa; Fujimak | Universidade Estadual de Marin |  nan | nan             | a local oral health team; a sy | a local oral health team; a sy | Fujimaki, M (corresponding aut | nan                            | Brazil; United States          | Brazil       | BRA; USA           | BRA               | nan             | 2026-04-19 | WoS        | nan        | a local oral health team; a sy | a local oral health team; a sy | Article                    | 10.1590/1807-3107bor-2020.vol3 | nan      | WOS:000651306200001 | mfujimaki@uem.br               | Coordenacao de Aperfeicoamento | This study was funded by grant | SD3WT | Ardenghi TM, 2008, J DENT CHIL |     4 |  nan |  nan |  nan | atraumatic restorative treatme | atraumatic restorative treatme | atraumatic restorative treatme | 1807-3107 | nan       | nan     | atraumatic restorative treatme | atraumatic restorative treatme | English    | nan                            |     0 | prevention and health promotio | a local oral health team; a sy | 112 clinical hours; 4 applicat | atraumatic restorative treatme | system dynamics modeling; toot |        6 |      34 |     nan | Green Submitted, Green Publish | Pascotto, Renata/0000-0002-8396-6016; Ferreira Passos, Guttenberg/0000-0001-8836 | UNIV ESTADUAL MAR UEM; [UNKNOWN]                                                 | UNIV ESTADUAL MAR UEM       |          8 |        nan |       nan |   3.21304e+07 | nan  | SOCIEDADE BRASILEIRA DE PESQUI | CIDADE UNIV, AV PROF LINEU PRE | SAO PAULO        | J         | Umeda JE, 2020, BRAZ ORAL RES, V34, DOI 10.1590/18 |       26 | Umeda JE 2020         | Americas              |  nan | nan                   | BRAZILIAN ORAL RESEARCH        | BRAZ ORAL RES                  | BRAZ ORAL RES        |  nan | Latin America and The Caribbea | System dynamics modeling for t | system dynamics modeling for t | SYSTEM_DYNAMICS_MODELING for T |    34 | Science Citation Index Expande | adulthood; age; analysis; appl | adulthood; age; analysis; appl | Dentistry, Oral Surgery & Medi |        0 |       10 |        5 |   2020 |
| Companies implement lean manuf | companies implement lean manuf | COMPANIES implement LEAN_MANUF | Univ Autonoma Ciudad Juarez, Dept Elect Engn & Comp Sci, Ave Charro 450 Norte, C | 100551   | Environmental Sciences; Operat | Sánchez-Ramírez, Cuauhtémoc/F-9267-2010; Rodríguez-Álvarez, José; L/AAJ-1708-202 | lean manufacturing; strategic  | lean manufacturing; strategic  | lean manufacturing; strategic  | Reza JRD         | Jose Roberto Diaz Reza; Jorge  | Reza JRD; Alcaraz JLG; Ramírez | Reza JRD; Alcaraz JLG; Ramírez | [Reza, Jose Roberto Diaz] Univ Autonoma Ciudad Juarez, Dept Elect Engn & Comp Sc | Universidad Autonoma de Ciudad |  nan | nan             | a continuous improvement progr | a continuous improvement progr | Alvarez, JLR (corresponding au | nan                            | Mexico; Spain                  | Mexico       | ESP; MEX           | MEX               | nan             | 2026-04-19 | WoS        | JUN        | a continuous improvement progr | a continuous improvement progr | Article                    | 10.1016/j.sftr.2025.100551     | MAR 2025 | WOS:001453376500001 | inv.pos07@uacj.mx; jorge.garci | Mexican National Council for S | Funding This study was support | 0QD9W | Abdulmouti H, 2015, 2015 INTER |     4 |  nan |  nan |  nan | kanban system                  | kanban system                  | kanban system                  | 2666-1888 | nan       | nan     | hoshin kanri; kaizen; kanban s | hoshin kanri; kaizen; kanban s | English    | nan                            |     0 | companies; lean manufacturing  | a continuous improvement progr | 411 responses; a continuous im | adequate levels; constant chan | strategic goals; continuous im |        6 |      57 |     nan | Green Submitted, gold          | Sánchez-Ramírez, Cuauhtémoc/0000-0002-0344-1966; Rodríguez-Álvarez, José L/0000- | UNIV AUTON CIUDAD JUAREZ; UNIV LA RIOJA; [UNKNOWN]                               | UNIV AUTON CIUDAD JUAREZ    |         13 |        nan |       nan | nan           | nan  | ELSEVIER                       | RADARWEG 29, 1043 NX AMSTERDAM | AMSTERDAM        | J         | Reza JRD, 2025, SUSTAIN FUTUR, V9, DOI 10.1016/j.s |       27 | Reza JRD 2025         | Americas; Europe      |  nan | nan                   | SUSTAINABLE FUTURES            | SUSTAIN FUTUR                  | SUSTAIN FUTURES      |  nan | Latin America and The Caribbea | Achieving strategic goals by c | achieving strategic goals by c | achieving STRATEGIC_GOALS by C |     9 | Emerging Sources Citation Inde | adequate; alignment; approach; | adequate; alignment; approach; | Environmental Sciences & Ecolo |        7 |       10 |        4 |   2025 |
| To reach the Paris Agreement g | to reach the paris agreement g | to reach THE_PARIS_AGREEMENT_G | Riga Tech Univ, Inst Energy Syst & Environm, Riga, Latvia                        | nan      | Management; Social Sciences, I | nan                                                                              | energy and climate policy; int | energy and climate policy; int | energy and climate policy; int | Blumberga A      | Andra Blumberga                | Blumberga A                    | Blumberga A                    | [Blumberga, Andra] Riga Tech Univ, Inst Energy Syst & Environm, Riga, Latvia.    | Riga Technical University      |  nan | nan             | a role; a system dynamics; an  | a role; a system dynamics; an  | Blumberga, A (corresponding au | nan                            | Latvia                         | Latvia       | LVA                | LVA               | nan             | 2026-04-19 | WoS        | NOV        | a role; a system dynamics; agr | a role; a system dynamics; agr | Article                    | 10.1002/sres.3074              | SEP 2024 | WOS:001317012000001 | andra.blumberga@rtu.lv         | The 'Assessment of Competences | 'Assessment of Competences of  | 1DG2H | Akenji L, 2014, J CLEAN PROD,  |     2 |  nan |  nan |  nan | serious games; life-style; gre | serious games; life-style; gre | serious games; life-style; gre | 1092-7026 | 1099-1743 | 6       | energy and climate policy; gre | energy and climate policy; gre | English    | nan                            |     0 | the paris agreement goals; eur | a role; a system dynamics; an  | a role; an experiential learni | bright greens; climate goals;  | an interactive simulation tool |        1 |      47 |     nan | hybrid                         | Blumberga, Andra/0000-0002-4712-4794                                             | RIGA TECH UNIV                                                                   | RIGA TECH UNIV              |         18 |        876 |       893 | nan           | nan  | WILEY                          | 111 RIVER ST, HOBOKEN 07030-57 | HOBOKEN          | J         | Blumberga A, 2024, SYST RES BEHAV SCI, V41, P876,  |       28 | Blumberga A 2024      | Europe                |  nan | nan                   | SYSTEMS RESEARCH AND BEHAVIORA | SYST RES BEHAV SCI             | SYST RES BEHAV SCI   |  nan | Northern Europe                | Using an interactive simulatio | using an interactive simulatio | using AN_INTERACTIVE_SIMULATIO |    41 | Social Science Citation Index  | agreement; application; approa | agreement; application; approa | Business & Economics; Social S |        2 |        8 |        2 |   2024 |
| The work is devoted to the stu | the work is devoted to the stu | the_work is_devoted_to_the_stu | Transport & Telecommun Inst, Lomonosova Str 1, LV-1019 Riga, Latvia; Al Farabi K | nan      | Transportation Science & Techn | nan                                                                              | road transport; simulation; sy | road transport; simulation; sy | road transport; simulation; sy | Tolujevs J       | Jurijs Tolujevs; Otegali Shede | Tolujevs J; Shedenov O; Askaro | Tolujevs J; Shedenov O; Askaro | [Tolujevs, Jurijs] Transport & Telecommun Inst, Lomonosova Str 1, LV-1019 Riga,  | Transport & Telecommunication  |  nan | nan             | a concise review; a qualitativ | a concise review; a qualitativ | Tolujevs, J (corresponding aut | nan                            | Kazakhstan; Latvia             | Latvia       | KAZ; LVA           | LVA               | nan             | 2026-04-19 | WoS        | MAR        | a concise review; a qualitativ | a concise review; a qualitativ | Article                    | 10.2478/ttj-2018-0001          | nan      | WOS:000425893700001 | Tolujevs.J@tsi.lv; askarovg@ma | nan                            | nan                            | FX2MJ | [Anonymous], 2013, ANYLOGIC N  |     5 |  nan |  nan |  nan | freight transport; simulation; | freight transport; simulation; | freight transport; simulation; | 1407-6160 | 1407-6179 | 1       | freight transport; models; roa | freight transport; models; roa | English    | nan                            |     0 | the possibilities; the system  | a concise review; a qualitativ | a concise review; a qualitativ | causal loop diagram; concise r | investigation; road transport  |        3 |      14 |     nan | Green Submitted, gold          | Tolujevs, Jurijs/0000-0002-2907-2281; Tolujew, Juri/0000-0002-5377-526X          | FARABI KAZAKH NATL UNIV; [UNKNOWN]                                               | [UNKNOWN]                   |          9 |          1 |         9 | nan           | nan  | DE GRUYTER POLAND SP ZOO       | BOGUMILA ZUGA 32A STR., 01-811 | WARSAW           | J         | Tolujevs J, 2018, TRANSP TELECOMMUN J, V19, P1, DO |       29 | Tolujevs J 2018       | Asia; Europe          |  nan | nan                   | TRANSPORT AND TELECOMMUNICATIO | TRANSP TELECOMMUN J            | TRANSP TELECOMMUN J  |  nan | Central Asia; Northern Europe  | INVESTIGATION OF ROAD TRANSPOR | investigation of road transpor | INVESTIGATION of ROAD_TRANSPOR |    19 | Emerging Sources Citation Inde | agent; analysis; application;  | agent; analysis; application;  | Transportation                 |        0 |       19 |        8 |   2018 |
| One of the best-known tools fr | one of the best_known tools fr | one of THE_BEST_KNOWN_TOOLS fr | Univ Sao Paulo, Doctoral Program Econ Org & Knowledge Management, Sao Carlos, SP | nan      | Automation & Control Systems;  | Rampasso, Izabela Simon/H-1755-2018; Anholon, Rosley/C-3650-2018; de; Paula Ferr | lean manufacturing; value stre | lean manufacturing; value stre | lean manufacturing; value stre | de Assis RF      | Rodrigo Furlan de Assis; Luis  | de Assis RF; de Santa-Eulalia  | de Assis RF; de Santa-Eulalia  | [de Assis, Rodrigo Furlan] Univ Sao Paulo, Doctoral Program Econ Org & Knowledge | Universidade de Sao Paulo; Uni |  nan | nan             | a known modeling approach; a p | a known modeling approach; a p | Ferreira, WD (corresponding au | nan                            | Brazil; Canada                 | Brazil       | BRA; CAN           | BRA               | nan             | 2026-04-19 | WoS        | JUN        | a known modeling approach; a p | a known modeling approach; a p | Article                    | 10.1007/s00170-021-07053-y     | APR 2021 | WOS:000645071300008 | william.ferreira@polymtl.ca    | Federal Institute of Education | This research is partially sup | SM8QO | Ahn SH, 2002, RAPID PROTOTYPIN |    22 |  nan |  nan |  nan | fdm                            | fdm                            | fdm                            | 0268-3768 | 1433-3015 | 11-12   | fdm; lean manufacturing; simul | fdm; lean manufacturing; simul | English    | nan                            |     0 | the best known tools; lean thi | a known modeling approach; a p | a known modeling approach; a p | analytic comparisons; best_kno | value stream maps; system dyna |        7 |      25 |     nan | nan                            | Rampasso, Izabela Simon/0000-0003-1633-6628; Anholon, Rosley/0000-0003-3163-6119 | FED FLUM UNIV; UNIV ESTADUAL CAMPINAS; UNIV SAO PAULO; UNIV SHERBROOKE; [UNKNOWN | UNIV SAO PAULO              |         14 |       3537 |      3550 | nan           | nan  | SPRINGER LONDON LTD            | 236 GRAYS INN RD, 6TH FLOOR, L | LONDON           | J         | de Assis RF, 2021, INT J ADV MANUF TECHNOL, V114,  |       30 | de Assis RF 2021      | Americas              |  nan | nan                   | INTERNATIONAL JOURNAL OF ADVAN | INT J ADV MANUF TECHNOL        | INT J ADV MANUF TECH |  nan | Latin America and The Caribbea | Translating value stream maps  | translating value stream maps  | translating VALUE_STREAM_MAPS  |   114 | Science Citation Index Expande | ability; analysis; analytic; a | ability; analysis; analytic; a | Automation & Control Systems;  |        2 |       40 |       23 |   2021 |
| This research work focuses on  | this research work focuses on  | this_research WORK_FOCUSES on  | Univ Sci & Humanities, Fac Engn Sci, Lima, Peru                                  | nan      | Computer Science, Theory & Met | Andrade Arenas, Laberiano/AFX-7404-2022                                          | causal diagram; environmental  | causal diagram; environmental  | causal diagram; environmental  | Retuerto MG      | Margarita Giraldo Retuerto; Da | Retuerto MG; Espinoza DY; Andr | Retuerto MG; Espinoza DY; Andr | [Giraldo Retuerto, Margarita; Ysla Espinoza, Dayana; Andrade-Arenas, Laberiano]  | nan                            |  nan | nan             | a complex solid waste system;  | a complex solid waste system;  | Retuerto, MG (corresponding au | nan                            | Peru                           | Peru         | PER                | PER               | nan             | 2026-04-19 | WoS        | JUL        | a complex solid waste system;  | a complex solid waste system;  | Article                    | nan                            | nan      | WOS:000686175500062 | nan                            | nan                            | nan                            | UB9RT | Adriyanti NP, 2018, 2018 2ND I |     7 |  nan |  nan |  nan | nan                            | nan                            | nan                            | 2158-107X | 2156-5570 | 7       | causal diagram; environmental  | causal diagram; environmental  | English    | nan                            |     0 | work focuses; environmental ca | a complex solid waste system;  | a complex solid waste system;  | causal diagram; complex solid  | system dynamics modeling; soli |        3 |      21 |     nan | gold                           | Giraldo Retuerto, Margarita Fatima/0000-0001-9822-6857                           | UNIV SCI & HUMANIT                                                               | UNIV SCI & HUMANIT          |          6 |        537 |       542 | nan           | nan  | SCIENCE & INFORMATION SAI ORGA | 19 BOLLING RD, BRADFORD, WEST  | WEST YORKSHIRE   | J         | Retuerto MG, 2021, INT J ADV COMPUT SCI APPL, V12, |       31 | Retuerto MG 2021      | Americas              |  nan | nan                   | INTERNATIONAL JOURNAL OF ADVAN | INT J ADV COMPUT SCI APPL      | INT J ADV COMPUT SC  |  nan | Latin America and The Caribbea | System Dynamics Modeling for S | system dynamics modeling for s | SYSTEM_DYNAMICS_MODELING for S |    12 | Emerging Sources Citation Inde | abrupt; agriculture; behavior; | abrupt; agriculture; behavior; | Computer Science               |        0 |       16 |        8 |   2021 |
| The article is based upon assu | the article is based upon assu | the_article is based upon ASSU | St Petersburg State Univ Econ, Fac Informat & Appl Math, Dept Informat, 21 Sadov | nan      | Economics                      | ; Rastova, Yuliya/O-1963-2017; Barabanova, Marina/X-3610-2018                    | value-oriented approach; manag | value-oriented approach; manag | value-oriented approach; manag | Barabanova M     | Marina Barabanova; Lyudmyla Le | Barabanova M; Lebedeva L; Rast | Barabanova M; Lebedeva L; Rast | [Barabanova, Marina] St Petersburg State Univ Econ, Fac Informat & Appl Math, De | Saint-Petersburg State Univers |  nan | nan             | a long term balanced basis; a  | a long term balanced basis; a  | Barabanova, M (corresponding a | nan                            | Russia                         | Russia       | RUS                | RUS               | nan             | 2026-04-19 | WoS        | DEC 24     | a long term balanced basis; a  | a long term balanced basis; a  | Article                    | 10.21003/ea.V173-05            | nan      | WOS:000462432700005 | mibar@mail.ru; l.n.lebedeva@gm | nan                            | nan                            | HQ5EL | [Anonymous], WALL STREET J; [A |     4 |  nan |  nan |  nan | nan                            | nan                            | nan                            | 1728-6220 | 1728-6239 | 9-10    | enterprise; food industry; man | enterprise; food industry; man | English    | nan                            |     0 | assumption; search; best susta | a long term balanced basis; a  | a long_term balanced basis; a  | address customers; addresses n | system dynamics tools; value o |        4 |      26 |     nan | gold                           | Лебедева, Людмила/0000-0003-4049-5207; Rastova, Yuliya/0000-0002-3101-7388; Бара | ST PETERSBG STATE UNIV ECON                                                      | ST PETERSBG STATE UNIV ECON |          6 |         32 |        37 | nan           | nan  | INST SOC TRANSFORMATION        | VUL GONCHARA 43-V, OFIS 20, KY | KYIV             | J         | Barabanova M, 2018, ECON ANN-XXI, V173, P32, DOI 1 |       32 | Barabanova M 2018     | Europe                |  nan | nan                   | ECONOMIC ANNALS-XXI            | ECON ANN-XXI                   | ECON ANN-XXI         |  nan | Eastern Europe                 | Use of system dynamics tools i | use of system dynamics tools i | use of SYSTEM_DYNAMICS_TOOLS i |   173 | Emerging Sources Citation Inde | address; addresses; adjustment | address; addresses; adjustment | Business & Economics           |        0 |       31 |        5 |   2018 |
| This study makes a systemic re | this study makes a systemic re | this_study_makes A_SYSTEMIC_RE | Univ Nacl Colombia, Fac Minas, Dept Comp Sci & Decis, Decis Sci Res Grp, Medelli | 12       | Social Sciences, Interdiscipli | Puello Pereira, Nataly/AGN-8891-2022                                             | competitiveness; cluster; syst | competitiveness; cluster; syst | competitiveness; cluster; syst | Martínez-Marín S | Sindy Martinez-Marin; Nataly P | Martínez-Marín S; Puello-Perei | Martínez-Marín S; Puello-Perei | [Martinez-Marin, Sindy] Univ Nacl Colombia, Fac Minas, Dept Comp Sci & Decis, De | Universidad Nacional de Colomb |  nan | nan             | a competitiveness relationship | a competitiveness relationship | Martínez-Marín, S (correspondi | nan                            | Colombia                       | Colombia     | COL                | COL               | nan             | 2026-04-19 | WoS        | FEB        | a competitiveness relationship | a competitiveness relationship | Article                    | 10.3390/socsci9020012          | nan      | WOS:000683634700006 | sjmartin@unal.edu.co; npuello@ | nan                            | nan                            | TY2SH | Alefari M, 2018, PROC CIRP, V7 |     5 |  nan |  nan |  nan | industrial clusters; supply ch | industrial clusters; supply ch | industrial clusters; supply ch | nan       | 2076-0760 | 2       | capabilities; causal diagram;  | capabilities; causal diagram;  | English    | nan                            |     0 | a systemic review; cluster; a  | a competitiveness relationship | a competitiveness relationship | causal analysis; causal diagra | cluster competitiveness modeli |        3 |     105 |     nan | Green Submitted, gold          | Ovallos-Gazabon, David/0000-0003-0836-2287                                       | UNIV COSTA; UNIV NACL COLOMB; UNIV SIMON BOLIV                                   | UNIV NACL COLOMB            |         18 |        nan |       nan | nan           | nan  | MDPI                           | ST ALBAN-ANLAGE 66, CH-4052 BA | BASEL            | J         | Martínez-Marín S, 2020, SOC SCI-BASEL, V9, DOI 10. |       33 | Martínez-Marín S 2020 | Americas              |  nan | nan                   | SOCIAL SCIENCES-BASEL          | SOC SCI-BASEL                  | SOC SCI-BASEL        |  nan | Latin America and The Caribbea | Cluster Competitiveness Modeli | cluster competitiveness modeli | CLUSTER_COMPETITIVENESS_MODELI |     9 | Emerging Sources Citation Inde | analysis; approach; approaches | analysis; approach; approaches | Social Sciences - Other Topics |        0 |       19 |        6 |   2020 |
